,Player,Role,Amount,Team,Year,Player Origin
6,Abhijeet Tomar,Batsman,4000000,Kolkata Knight Riders,2022.0,Indian
9,Abhinav Manohar,Batsman,26000000,Gujarat Titans,2022.0,Indian
13,Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022.0,Indian
17,Adam Milne,Bowler,19000000,Chennai Super Kings,2022.0,Overseas
26,Aiden Markram,Batsman,26000000,Sunrisers Hyderabad,2022.0,Overseas
29,Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022.0,Indian
30,Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022.0,Indian
46,Alex Hales,Batsman,15000000,Kolkata Knight Riders,2022.0,Overseas
47,Alzarri Joseph,Bowler,24000000,Gujarat Titans,2022.0,Overseas
48,Amaan Khan,All-Rounder,2000000,Kolkata Knight Riders,2022.0,Indian
50,Ambati Rayudu,Wicket Keeper,67500000,Chennai Super Kings,2022.0,Indian
62,Aneeshwar Gautam,All-Rounder,2000000,Royal Challengers Bangalore,2022.0,Indian
75,Ankit Rajpoot,Bowler,5000000,Lucknow Super Giants,2022.0,Indian
81,Anmolpreet Singh,Batsman,2000000,Mumbai Indians,2022.0,Indian
83,Ansh Patel,All-Rounder,2000000,Punjab Kings,2022.0,Indian
85,Anuj Rawat,Wicket Keeper,34000000,Royal Challengers Bangalore,2022.0,Indian
87,Anukul Roy,All-Rounder,2000000,Kolkata Knight Riders,2022.0,Indian
88,Anunay Singh,All-Rounder,2000000,Rajasthan Royals,2022.0,Indian
94,Arjun Tendulkar,All-Rounder,3000000,Mumbai Indians,2022.0,Indian
98,Aryan Juyal,Wicket Keeper,2000000,Mumbai Indians,2022.0,Indian
105,Ashok Sharma,Bowler,5500000,Kolkata Knight Riders,2022.0,Indian
107,Ashwin Hebbar,Batsman,2000000,Delhi Capitals,2022.0,Indian
109,Atharva Taide,All-Rounder,2000000,Punjab Kings,2022.0,Indian
111,Avesh Khan,Bowler,100000000,Lucknow Super Giants,2022.0,Indian
113,Ayush Badoni,All-Rounder,2000000,Lucknow Super Giants,2022.0,Indian
114,Sai Sudharsan,All-Rounder,2000000,Gujarat Titans,2022.0,Indian
117,Baba Indrajith,Wicket Keeper,2000000,Kolkata Knight Riders,2022.0,Indian
118,Baltej Singh,Bowler,2000000,Punjab Kings,2022.0,Indian
126,Basil Thampi,Bowler,3000000,Mumbai Indians,2022.0,Indian
139,Benny Howell,All-Rounder,4000000,Punjab Kings,2022.0,Overseas
141,Bhanuka Rajapaksa,Batsman,5000000,Punjab Kings,2022.0,Overseas
143,Bhuvneshwar Kumar,Bowler,42000000,Sunrisers Hyderabad,2022.0,Indian
153,Hari Nishaanth,Batsman,2000000,Chennai Super Kings,2022.0,Indian
163,Chama Milind,Bowler,2500000,Royal Challengers Bangalore,2022.0,Indian
164,Chamika Karunaratne,All-Rounder,5000000,Kolkata Knight Riders,2022.0,Overseas
166,Chetan Sakariya,Bowler,42000000,Delhi Capitals,2022.0,Indian
174,Chris Jordan,All-Rounder,36000000,Chennai Super Kings,2022.0,Overseas
201,Daniel Sams,All-Rounder,26000000,Mumbai Indians,2022.0,Overseas
209,Darshan Nalkande,All-Rounder,2000000,Gujarat Titans,2022.0,Indian
210,Daryl Mitchell,All-Rounder,7500000,Rajasthan Royals,2022.0,Overseas
213,David Miller,Batsman,30000000,Gujarat Titans,2022.0,Overseas
215,David Warner,Batsman,62500000,Delhi Capitals,2022.0,Overseas
217,David Willey,All-Rounder,20000000,Royal Challengers Bangalore,2022.0,Overseas
222,Deepak Chahar,Bowler,140000000,Chennai Super Kings,2022.0,Indian
227,Deepak Hooda,All-Rounder,57500000,Lucknow Super Giants,2022.0,Indian
230,Devdutt Padikkal,Batsman,77500000,Rajasthan Royals,2022.0,Indian
231,Devon Conway,Batsman,10000000,Chennai Super Kings,2022.0,Overseas
232,Dewald Brevis,Batsman,30000000,Mumbai Indians,2022.0,Overseas
236,Dhruv Jurel,Wicket Keeper,2000000,Rajasthan Royals,2022.0,Indian
