,player,average_batting_performance_index
0,A Ashish Reddy,0.19431166632021205
1,A Badoni,0.3225959759531102
2,A Chopra,0.1160278794142498
3,A Choudhary,0.1449001236340825
4,A Flintoff,0.11275127892197681
5,A Kumble,0.042401641151278806
6,A Manohar,0.203092719628108
7,A Mishra,0.21674131340046615
8,A Mithun,0.11623837785748492
9,A Mukund,0.019441232864172136
10,A Nehra,0.015374679386218996
11,A Nortje,0.06475415544803802
12,A Raghuvanshi,0.20089988595256678
13,A Symonds,0.3960908028655475
14,A Zampa,0.07787238703928781
15,AA Bilakhia,0.1339534928151021
16,AA Jhunjhunwala,0.16807557343384374
17,AB Agarkar,0.25520213959906973
18,AB Barath,0.019153950087447056
19,AB Dinda,0.03174298717415018
20,AB McDonald,0.1028440331287674
21,AB de Villiers,0.9902123149267751
22,AC Blizzard,0.22252686659434276
23,AC Gilchrist,0.6201084045591423
24,AC Thomas,0.0
25,AC Voges,0.24408879856583582
26,AD Hales,0.1568264389397939
27,AD Mascarenhas,0.11593593599062854
28,AD Mathews,0.41396927088616087
29,AD Nath,0.08898196809622451
30,AD Russell,0.6753801422329768
31,AF Milne,0.04259276033981205
32,AG Paunikar,0.16044055835534604
33,AJ Finch,0.5062972398233717
34,AJ Turner,0.11381141955592994
35,AJ Tye,0.15338223939034226
36,AK Markram,0.5209189837851655
37,AL Menaria,0.18575969251679222
38,AM Nayar,0.24785752293592458
39,AM Rahane,0.6852194242289271
40,AN Ahmed,0.0
41,AP Dole,0.20964733533305496
42,AP Majumdar,0.1607892371533345
43,AP Tare,0.18234008711397123
44,AR Patel,0.4349324977649468
45,AS Joseph,0.0
46,AS Rajpoot,0.009705549394828894
47,AS Raut,0.09808768292686655
48,AS Roy,0.05230911065303029
49,AS Yadav,0.11209874809967124
50,AT Carey,0.03520249814108526
51,AT Rayudu,0.6527560160335457
52,AUK Pathan,0.09352498037435915
53,Abdul Samad,0.3155716585507819
54,Abhishek Sharma,0.4917598142509982
55,Abishek Porel,0.32542961893201605
56,Aman Hakim Khan,0.1354859188242188
57,Anirudh Singh,0.15542555900118785
58,Ankit Sharma,0.14383254462685882
59,Anmolpreet Singh,0.18363510357856216
60,Anuj Rawat,0.09797986398168768
61,Anureet Singh,0.0418040044773189
62,Arshad Khan,0.056307308128485105
63,Arshdeep Singh,0.07094470593228515
64,Ashutosh Sharma,0.16638738785842405
65,Atharva Taide,0.2252323589106055
66,Avesh Khan,0.4803230704354783
67,Azhar Mahmood,0.28709378218535964
68,Azmatullah Omarzai,0.0657005770707331
69,B Akhil,0.12287543362273924
70,B Chipli,0.19049585344716116
71,B Indrajith,0.10255509550471066
72,B Kumar,0.11741741758154284
73,B Lee,0.18711200895108054
74,B Sai Sudharsan,0.46488199009419295
75,B Sumanth,0.039249973315642755
76,BA Stokes,0.39500568262827096
77,BB McCullum,0.6019822521683812
78,BB Samantray,0.2151648604232821
79,BCJ Cutting,0.3542585742838532
80,BJ Hodge,0.4616801377255195
81,BJ Rohrer,0.17373636008013651
82,BMAJ Mendis,0.10493631283479936
83,BR Dunk,0.13209583083598125
84,Basil Thampi,0.019294160127606184
85,Bipul Sharma,0.18492221014062982
86,C Green,0.4334526806863268
87,C Madan,0.0
88,C Munro,0.14645537010634677
89,C Sakariya,0.17010746173407876
90,C de Grandhomme,0.2529595625589951
91,CA Ingram,0.13168852527678496
92,CA Lynn,0.6017500567156919
93,CA Pujara,0.2921868157527256
94,CH Gayle,0.9840222248152365
95,CH Morris,0.22952885404335868
96,CJ Anderson,0.293640918416949
97,CJ Ferguson,0.10048422345509415
98,CJ Jordan,0.184278614506829
99,CK Kapugedera,0.06141103915230187
100,CL White,0.3972693155912617
101,CM Gautam,0.1912234258866522
102,CR Brathwaite,0.22304807904088944
103,CR Woakes,0.10290617583555366
104,CV Varun,0.07496845016913443
105,D Brevis,0.19953300971714236
106,D Padikkal,0.4380489893706588
107,D Pretorius,0.2188574511506122
108,D Salunkhe,0.20421517349913865
109,D Wiese,0.376747810397139
110,DA Miller,0.6181255492576094
111,DA Warner,0.8955292082744288
112,DB Das,0.26751110109043214
113,DB Ravi Teja,0.14026579921013552
114,DE Bollinger,0.04043831220761303
115,DH Yagnik,0.24539385524334167
116,DJ Bravo,0.3614897412542626
117,DJ Harris,0.17172560236710743
118,DJ Hooda,0.369414535991331
119,DJ Hussey,0.40756900255703166
120,DJ Jacobs,0.09996675384952965
121,DJ Malan,0.17609663397082426
122,DJ Mitchell,0.21690925813713144
123,DJ Thornely,0.2127186198990813
124,DJ Willey,0.13463322978037243
125,DJG Sammy,0.34664240617174386
126,DJM Short,0.2696426252462175
127,DL Chahar,0.24380228815139196
128,DL Vettori,0.17331455016955757
129,DP Conway,0.5491273438226489
130,DPMD Jayawardene,0.49889555876050845
131,DR Martyn,0.16814061586660958
132,DR Sams,0.026979322937890245
133,DR Shorey,0.0934950824450291
134,DR Smith,0.7352505698233792
135,DS Kulkarni,0.1389751576792929
136,DS Lehmann,0.08573248118278323
137,DT Christian,0.1899275026671207
138,DW Steyn,0.17173593028972112
139,Dhruv Jurel,0.2258964415849772
140,E Lewis,0.29509771354925796
141,EJG Morgan,0.3820611032199272
142,F du Plessis,0.8067699108803225
143,FA Allen,0.017876398570558134
144,FY Fazal,0.39362467510105675
145,G Coetzee,0.030178328423534927
146,G Gambhir,0.7155503652395646
147,GB Hogg,0.175979516308309
148,GC Smith,0.542932205364786
149,GD Phillips,0.124531395136477
150,GH Vihari,0.17534647710921442
151,GJ Bailey,0.39348603446767455
152,GJ Maxwell,0.5771630422118834
153,Gurkeerat Singh,0.31798480627200926
154,H Klaasen,0.6251525819619682
155,HC Brook,0.10652464756469626
156,HE van der Dussen,0.0
157,HH Gibbs,0.40749880676700895
158,HH Pandya,0.6040303353491405
159,HM Amla,0.30861946270276613
160,HR Shokeen,0.1333204082785869
161,HV Patel,0.17597180079750696
162,Harbhajan Singh,0.29233782930364927
163,Harpreet Brar,0.26427692634468736
164,Harpreet Singh,0.1744637275946554
165,I Sharma,0.011960953234458472
166,IK Pathan,0.34530811604429584
167,IR Jaggi,0.12512924823192165
168,IS Sodhi,0.0
169,Imran Tahir,0.08774778000463386
170,Iqbal Abdulla,0.652754456594416
171,Ishan Kishan,0.6235585211298902
172,J Arunkumar,0.23984037336675448
173,J Botha,0.20428812071139255
174,J Fraser-McGurk,0.3921433120757229
175,J Suchith,0.0707863890122689
176,J Syed Mohammad,0.23859461222020104
177,J Yadav,0.35497074594600747
178,JA Morkel,0.3859124128430309
179,JA Richardson,0.0496617441240602
180,JC Archer,0.15227988695428676
181,JC Buttler,0.824461806262207
182,JD Ryder,0.3365960844642339
183,JD Unadkat,0.231501257068232
184,JDP Oram,0.07325664160859627
185,JDS Neesham,0.128124067152275
186,JEC Franklin,0.2383592248627396
187,JH Kallis,0.5746918852787728
188,JJ Bumrah,0.058363021511500406
189,JJ Roy,0.32292422883874683
190,JM Bairstow,0.6743580719444928
191,JM Kemp,0.26139801671457236
192,JM Sharma,0.3432336910276978
193,JO Holder,0.13570682147443194
194,JP Duminy,0.6586754128834486
195,JP Faulkner,0.27951039971503877
196,JR Hopes,0.23077449170398462
197,JR Philippe,0.114278133889709
198,Joginder Sharma,0.05338154942281527
199,K Goel,0.280902076616163
200,K Gowtham,0.15220767851918132
201,K Rabada,0.17059205331769725
202,KA Jamieson,0.13309682502480893
203,KA Pollard,0.7274198700872849
204,KB Arun Karthik,0.13993733277394801
205,KC Cariappa,0.010728537276113037
206,KC Sangakkara,0.5144142532462828
207,KD Karthik,0.6692968850924614
208,KH Pandya,0.5415263023643558
209,KK Cooper,0.22066144980785396
210,KK Nair,0.5079588955919339
211,KL Nagarkoti,0.035661966645057004
212,KL Rahul,0.9930843472604183
213,KM Jadhav,0.3685677820989575
214,KMA Paul,0.11048090999309627
215,KP Pietersen,0.472284890015671
216,KR Mayers,0.2693338598593064
217,KS Bharat,0.22495242329651427
218,KS Sharma,0.10840205949201547
219,KS Williamson,0.657132541616509
220,KV Sharma,0.2725225514986058
221,KW Richardson,0.06892864859174004
222,Kamran Akmal,0.15733191641040545
223,Kuldeep Yadav,0.0724143015792344
224,L Balaji,0.053351671741085266
225,L Ronchi,0.0685240054410948
226,LA Carseldine,0.13716303160859808
227,LA Pomersbach,0.29460129961667225
228,LH Ferguson,0.13029609057593955
229,LJ Wright,0.4536002670058809
230,LMP Simmons,0.5449871401206564
231,LPC Silva,0.0395512444082566
232,LR Shukla,0.3027366431707112
233,LRPL Taylor,0.38672731949232036
234,LS Livingstone,0.38955617096246997
235,Lalit Yadav,0.1879065193370898
236,M Ashwin,0.08151021715481063
237,M Jansen,0.13731665384073005
238,M Kaif,0.15654899374874032
239,M Kartik,0.07194205903440586
240,M Klinger,0.03473395582799232
241,M Manhas,0.2151966586601671
242,M Markande,0.23767393462767145
243,M Morkel,0.14574524107851874
244,M Muralitharan,0.020759031111959588
245,M Ntini,0.6937880454712138
246,M Prasidh Krishna,0.0
247,M Rawat,0.03845583423521063
248,M Shahrukh Khan,0.24719345093480197
249,M Vijay,0.5279319695532282
250,M Vohra,0.35181327808527235
251,MA Agarwal,0.5046758732817829
252,MA Khote,0.16143982920984473
253,MA Starc,0.18238148206498622
254,MC Henriques,0.36141756170290656
255,MC Juneja,0.172748596882266
256,MD Mishra,0.23096356360582207
257,MD Shanaka,0.03333345592688646
258,MEK Hussey,0.5697054905089186
259,MF Maharoof,0.27717809190253734
260,MG Bracewell,0.057864907337459186
261,MG Johnson,0.23516910128996532
262,MJ Clarke,0.27178992932371765
263,MJ Guptill,0.20233606772187288
264,MJ Lumb,0.2964983307726452
265,MJ McClenaghan,0.054870507498037645
266,MJ Santner,0.25599190863265864
