,player,average_bowling_performance_index
0,A Ashish Reddy,5.846508063628137
1,A Badoni,30.832597445143115
2,A Chandila,9.879696427881903
3,A Choudhary,13.102460707495558
4,A Dananjaya,
5,A Flintoff,25.9114645604759
6,A Kamboj,20.597975517155845
7,A Kumble,3.6131736916435226
8,A Mishra,3.0522712632193216
9,A Mithun,4.808562930582529
10,A Nehra,3.490873315825464
11,A Nel,2.7120821211787915
12,A Nortje,3.0236212301664285
13,A Singh,5.814659642328817
14,A Symonds,4.37261238690287
15,A Uniyal,23.707124744354342
16,A Zampa,5.241044431991887
17,AA Chavan,3.0501703274062386
18,AA Jhunjhunwala,1.6441169279907828
19,AA Noffke,19.648639099245568
20,AB Agarkar,2.400670562335005
21,AB Dinda,3.1925227222398984
22,AB McDonald,7.11197527796765
23,AC Thomas,4.818498153358705
24,AC Voges,
25,AD Mascarenhas,4.798407464408503
26,AD Mathews,3.3586323572631924
27,AD Russell,3.5852044108246015
28,AF Milne,9.52729874194619
29,AG Murtaza,4.400414771975987
30,AJ Finch,1.7857063453286102
31,AJ Hosein,1.3586509967672413
32,AJ Tye,5.551769276623534
33,AK Markram,5.433551897175641
34,AL Menaria,7.130007414973898
35,AM Nayar,4.392184350999338
36,AM Salvi,7.138468366226374
37,AN Ahmed,4.956861610068885
38,AP Dole,4.12373162267992
39,AR Patel,2.306896975392603
40,AS Joseph,3.4558013073432297
41,AS Rajpoot,4.064355192022572
42,AS Raut,
43,AS Roy,10.461111371643542
44,AU Rashid,6.384532525834672
45,AUK Pathan,
46,Abdul Samad,51.90558875097533
47,Abhishek Sharma,5.288492555172334
48,Akash Deep,3.9805724695972566
49,Akash Madhwal,7.38090867345979
50,Akash Singh,5.655292318828987
51,Anand Rajan,4.8447729396896175
52,Ankit Sharma,2.2500090163530038
53,Ankit Soni,3.100492583906544
54,Anureet Singh,2.947885782758222
55,Arjun Tendulkar,12.298131918767384
56,Arshad Khan,5.392173881420902
57,Arshdeep Singh,3.606811265113824
58,Avesh Khan,3.83796478599654
59,Azhar Mahmood,4.778130074257245
60,Azmatullah Omarzai,4.500005138086728
61,B Akhil,3.2289749384059663
