,Player,Role,Amount,Player Origin,average_batting_performance_index,average_bowling_performance_index
0,Abhinav Manohar,Batsman,26000000,Indian,0.0,0.0
1,Abhishek Sharma,All-Rounder,65000000,Indian,0.355148558052464,0.355148558052464
2,Adam Milne,Bowler,19000000,Overseas,0.5671867953934371,0.5671867953934371
3,Aiden Markram,Batsman,26000000,Overseas,0.08277907075700364,0.08277907075700364
4,Ajinkya Rahane,Batsman,10000000,Indian,0.0,0.0
5,Akash Deep,Bowler,2000000,Indian,0.2463986243919885,0.2463986243919885
6,Alex Hales,Batsman,15000000,Overseas,0.0,0.0
7,Alzarri Joseph,Bowler,24000000,Overseas,0.3260608853810892,0.3260608853810892
8,Ambati Rayudu,Wicket Keeper,67500000,Indian,0.0,0.0
9,Ankit Rajpoot,Bowler,5000000,Indian,0.34005500315229326,0.34005500315229326
10,Anmolpreet Singh,Batsman,2000000,Indian,0.48889674772886305,0.48889674772886305
11,Anmolpreet Singh,Batsman,2000000,Indian,0.0,0.0
12,Anuj Rawat,Wicket Keeper,34000000,Indian,0.0,0.0
13,Anukul Roy,All-Rounder,2000000,Indian,0.40447212322850123,0.40447212322850123
14,Arjun Tendulkar,All-Rounder,3000000,Indian,0.3308204678070459,0.3308204678070459
15,Atharva Taide,All-Rounder,2000000,Indian,0.0,0.0
16,Avesh Khan,Bowler,100000000,Indian,0.41719702621856075,0.41719702621856075
17,Ayush Badoni,All-Rounder,2000000,Indian,0.9331806662238473,0.9331806662238473
18,Sai Sudharsan,All-Rounder,2000000,Indian,0.0,0.0
19,Basil Thampi,Bowler,3000000,Indian,0.3329719642207626,0.3329719642207626
20,Bhanuka Rajapaksa,Batsman,5000000,Overseas,0.0,0.0
21,Bhuvneshwar Kumar,Bowler,42000000,Indian,0.30369142774671243,0.30369142774671243
22,Chetan Sakariya,Bowler,42000000,Indian,0.33861011466248264,0.33861011466248264
23,Chris Jordan,All-Rounder,36000000,Overseas,0.3299501207584463,0.3299501207584463
24,Darshan Nalkande,All-Rounder,2000000,Indian,0.7543507300856616,0.7543507300856616
25,Daryl Mitchell,All-Rounder,7500000,Overseas,0.23510260952809608,0.23510260952809608
26,David Miller,Batsman,30000000,Overseas,0.0,0.0
27,David Warner,Batsman,62500000,Overseas,0.0,0.0
28,David Willey,All-Rounder,20000000,Overseas,0.35330186462043633,0.35330186462043633
29,Deepak Chahar,Bowler,140000000,Indian,0.4070061706714446,0.4070061706714446
30,Deepak Hooda,All-Rounder,57500000,Indian,0.14423048422271867,0.14423048422271867
31,Devdutt Padikkal,Batsman,77500000,Indian,0.0,0.0
