,Player,Role,Amount,Player Origin
4,Aaron Finch,Batsman,44000000,Overseas
5,Abdul Samad,All-Rounder,2000000,Indian
6,Abhijeet Tomar,Batsman,4000000,Indian
8,Abhimanyu Mithun,Bowler,3000000,Indian
9,Abhinav Manohar,Batsman,26000000,Indian
11,Abhishek Nayar,All-Rounder,10000000,Indian
13,Abhishek Sharma,All-Rounder,65000000,Indian
14,Abu Nechim,Bowler,3000000,Indian
17,Adam Milne,Bowler,19000000,Overseas
18,Adam Zampa,Bowler,3000000,Overseas
19,Aditya Garhwal,All-Rounder,2500000,Indian
23,Aditya Tare,Wicket Keeper,2000000,Indian
24,Agnivesh Ayachi,All-Rounder,2000000,Indian
25,Aiden Blizzard,Batsman,3000000,Overseas
26,Aiden Markram,Batsman,26000000,Overseas
27,Ajantha Mendis,Bowler,54375000,Overseas
29,Ajinkya Rahane,Batsman,10000000,Indian
30,Akash Deep,Bowler,2000000,Indian
32,Akash Singh,Bowler,2000000,Indian
33,Akhil Herwadkar,All-Rounder,1000000,Indian
34,Akila Dananjaya,All-Rounder,1500000,Overseas
35,Akila Dananjaya,Bowler,5000000,Overseas
36,Axar Patel,All-Rounder,7500000,Indian
37,Akshay Karnewar,All-Rounder,1000000,Indian
38,Akshay Wakhare,Bowler,1000000,Indian
42,Akshdeep Nath,All-Rounder,36000000,Indian
44,Albie Morkel,All-Rounder,3000000,Overseas
45,Alex Carey,Wicket Keeper,24000000,Overseas
46,Alex Hales,Batsman,15000000,Overseas
47,Alzarri Joseph,Bowler,24000000,Overseas
48,Amaan Khan,All-Rounder,2000000,Indian
50,Ambati Rayudu,Wicket Keeper,67500000,Indian
55,Amit Mishra,Bowler,40000000,Indian
56,Amit Paunikar,Wicket Keeper,2000000,Indian
57,Andre Russell,All-Rounder,6000000,Overseas
61,Andrew Tye,Bowler,10000000,Overseas
62,Aneeshwar Gautam,All-Rounder,2000000,Indian
64,Angelo Mathews,All-Rounder,20000000,Overseas
66,Aniket Choudhary,Bowler,3000000,Indian
68,Aniruddha Joshi,All-Rounder,2000000,Indian
69,Ankit Bawne,Batsman,1000000,Indian
70,Ankit Sharma,Bowler,1000000,Indian
72,Ankit Sharma,All-Rounder,2000000,Indian
75,Ankit Rajpoot,Bowler,5000000,Indian
79,Ankush Bains,Wicket Keeper,2000000,Indian
81,Anmolpreet Singh,Batsman,2000000,Indian
82,Anrich Nortje,Bowler,2000000,Overseas
83,Ansh Patel,All-Rounder,2000000,Indian
85,Anuj Rawat,Wicket Keeper,34000000,Indian
87,Anukul Roy,All-Rounder,2000000,Indian
88,Anunay Singh,All-Rounder,2000000,Indian
90,Anureet Singh,Bowler,3000000,Indian
92,Apoorv Wankhade,Batsman,2000000,Indian
94,Arjun Tendulkar,All-Rounder,3000000,Indian
95,Armaan Jaffer,Batsman,1000000,Indian
96,Arshdeep Singh,Bowler,2000000,Indian
97,Aryaman Birla,All-Rounder,3000000,Indian
98,Aryan Juyal,Wicket Keeper,2000000,Indian
99,Asela Gunaratne,Batsman,3000000,Overseas
101,Ashish Nehra,Bowler,55000000,Indian
102,Ashish Reddy,Bowler,2000000,Indian
104,Ashok Dinda,Bowler,5000000,Indian
105,Ashok Sharma,Bowler,5500000,Indian
106,Ashton Turner,All-Rounder,5000000,Indian
107,Ashwin Hebbar,Batsman,2000000,Indian
108,KM Asif,Bowler,4000000,Indian
109,Atharva Taide,All-Rounder,2000000,Indian
111,Avesh Khan,Bowler,100000000,Indian
112,Axar Patel,All-Rounder,50000000,Indian
113,Ayush Badoni,All-Rounder,2000000,Indian
114,Sai Sudharsan,All-Rounder,2000000,Indian
116,Baba Aparajith,All-Rounder,1000000,Indian
117,Baba Indrajith,Wicket Keeper,2000000,Indian
118,Baltej Singh,Bowler,2000000,Indian
119,Bandaru Ayyappa,Bowler,2000000,Indian
120,Barinder Sran,Bowler,1000000,Indian
123,Barinder Sran,Bowler,34000000,Indian
126,Basil Thampi,Bowler,3000000,Indian
