,Player,Role,Amount,Player Origin,average_batting_performance_index,average_bowling_performance_index
500,Aaqib Khan,Bowler,2000000,Indian,,
595,Aaron  Hardie,All-Rounder,2000000,Overseas,,
483,Abhijeet Saket,Bowler,2000000,Indian,,
0,Abhijeet Tomar,Batsman,4000000,Indian,,
386,Abhimanyu Easwaran,Batsman,2000000,Indian,,
473,Abid Mushtaq,All-Rounder,2000000,Indian,,
210,Adil Rashid,Bowler,20000000,Overseas,,
457,Adithya Ashok,Bowler,2000000,Overseas,,
410,Aditya Thakare,Bowler,2000000,Indian,,
594,Agnivesh Ayachi,All-Rounder,2000000,Indian,,
585,Aidan Cahill,All-Rounder,2000000,Overseas,,
544,Ajay Dev Goud,All-Rounder,2000000,Indian,,
563,Ajay Mandal,All-Rounder,2000000,Indian,,
498,Akash Choudhary,Bowler,2000000,Indian,,
269,Akila Dhananjaya,Bowler,5000000,Overseas,,
471,Akshay Karnewar,All-Rounder,2000000,Indian,,
422,Akshay Wakhare,Bowler,2000000,Indian,,
371,Akshdeep  Nath,Wicket Keeper,2000000,Indian,,
429,Alex Ross,Batsman,2000000,Overseas,,
337,Ali Khan,Bowler,4000000,Overseas,,
9,Amaan Khan,All-Rounder,2000000,Indian,,
388,Amandeep Khare,Batsman,2000000,Indian,,
487,Amit Ali,All-Rounder,2000000,Indian,,
541,Amit Yadav,All-Rounder,2000000,Indian,,
324,Anaru  Kitchen,All-Rounder,5000000,Overseas,,
327,Andile Phehlukwayo,All-Rounder,5000000,Overseas,,
261,Andre Fletcher,Wicket Keeper,5000000,Overseas,,
11,Aneeshwar Gautam,All-Rounder,2000000,Indian,,
506,Anirudha Joshi,All-Rounder,2000000,Indian,,
367,Ankush Bains,Wicket Keeper,2000000,Indian,,
15,Ansh Patel,All-Rounder,2000000,Indian,,
482,Anuj Raj,Bowler,2000000,Indian,,
18,Anunay Singh,All-Rounder,2000000,Indian,,
364,Apoorv Wankhade,Batsman,2000000,Indian,,
573,Arjit Gupta,All-Rounder,2000000,Indian,,
509,Arpit Guleria,Bowler,2000000,Indian,,
335,Arun  Karthick,Wicket Keeper,4000000,Indian,,
543,Arun Chaprana,All-Rounder,2000000,Indian,,
20,Aryan Juyal,Wicket Keeper,2000000,Indian,,
352,Arzan Nagwaswalla,Bowler,2000000,Indian,,
21,Ashok Sharma,Bowler,5500000,Indian,,
217,Ashton Agar,All-Rounder,20000000,Overseas,,
22,Ashwin Hebbar,Batsman,2000000,Indian,,
365,Atharva Ankolekar,All-Rounder,2000000,Indian,,
395,Atit Sheth,All-Rounder,2000000,Indian,,
503,Auqib Dar,All-Rounder,2000000,Indian,,
287,Avishka Fernando,Batsman,5000000,Overseas,,
546,Azim Kazi,All-Rounder,2000000,Indian,,
402,B.R. Sharath,Wicket Keeper,2000000,Indian,,
27,Baba Indrajith,Wicket Keeper,2000000,Indian,,
453,Babasafi Pathan,Bowler,2000000,Indian,,
28,Baltej Singh,Bowler,2000000,Indian,,
496,Bandaru Ayyappa,Bowler,2000000,Indian,,
588,Bavanaka Sandeep,All-Rounder,2000000,Indian,,
339,Ben Dwarshuis,Bowler,3000000,Overseas,,
265,Ben Mcdermott,Wicket Keeper,5000000,Overseas,,
30,Benny Howell,All-Rounder,4000000,Overseas,,
580,Beyers Swanepoel,All-Rounder,2000000,Overseas,,
79,Bhagath Varma,All-Rounder,2000000,Indian,,
539,Bharat Sharma,All-Rounder,2000000,Indian,,
465,Bhupen Lalwani,Batsman,2000000,Indian,,
318,Blair Tickner,Bowler,5000000,Overseas,,
299,Blessing Muzarabani,Bowler,5000000,Overseas,,
330,Brad Wheal,Bowler,5000000,Overseas,,
275,Brandon King,Batsman,5000000,Overseas,,
441,Cam Fletcher,Wicket Keeper,2000000,Overseas,,
488,Chaitanya Bishnoi,All-Rounder,2000000,Indian,,
34,Chama Milind,Bowler,2500000,Indian,,
35,Chamika Karunaratne,All-Rounder,5000000,Overseas,,
257,Charith Asalanka,All-Rounder,5000000,Overseas,,
252,Cheteshwar  Pujara,Batsman,5000000,Indian,,
512,Chinntla Readdi,Bowler,2000000,Indian,,
414,Chintal Gandhi,Bowler,2000000,Indian,,
504,Chirag Gandhi,All-Rounder,2000000,Indian,,
238,Colin  De Grandhomme,All-Rounder,10000000,Overseas,,
516,Corbin Bosch,All-Rounder,2000000,Overseas,,
218,Craig Overton,All-Rounder,20000000,Overseas,,
304,Curtis Campher,All-Rounder,5000000,Overseas,,
38,Daniel Sams,All-Rounder,26000000,Overseas,,
323,Danushka Gunatilaka,All-Rounder,5000000,Overseas,,
240,Darcy Short,All-Rounder,10000000,Overseas,,
248,Darren Bravo,Batsman,7500000,Overseas,,
311,Daryn Dupavillon,Bowler,5000000,Overseas,,
562,Dev Lakra,All-Rounder,2000000,Indian,,
325,Dhananjaya Lakshan,All-Rounder,5000000,Overseas,,
379,Dharmendrasinh Jadeja,Bowler,2000000,Indian,,
247,Dhawal Kulkarni,Bowler,7500000,Indian,,
494,Dhrushant Soni,All-Rounder,2000000,Indian,,
394,Dhruv Patel,All-Rounder,2000000,Indian,,
536,Dikshanshu Negi,All-Rounder,2000000,Indian,,
545,Divyang Hinganekar,All-Rounder,2000000,Indian,,
518,Diwesh Pathania,All-Rounder,2000000,Indian,,
51,Dominic Drakes,All-Rounder,11000000,Overseas,,
464,Donavon Ferreira,Batsman,2000000,Overseas,,
593,Dunith Wellalage,All-Rounder,2000000,Overseas,,
53,Dwaine Pretorius,All-Rounder,5000000,Overseas,,
399,Eknath Kerkar,Wicket Keeper,2000000,Indian,,
222,Eoin  Morgan,Batsman,15000000,Overseas,,
443,Fazil Makaya,Wicket Keeper,2000000,Indian,,
59,Finn Allen,Batsman,8000000,Overseas,,
407,G Periyasamy,Bowler,2000000,Indian,,
322,Gareth Delany,All-Rounder,5000000,Overseas,,
565,Girinath Reddy,All-Rounder,2000000,Indian,,
293,Gulbadin Naib,All-Rounder,5000000,Overseas,,
497,Gurnoor Singh Brar,Bowler,2000000,Indian,,
313,Hamid Hassan,Bowler,5000000,Overseas,,
310,Hamish Bennett,Bowler,5000000,Overseas,,
600,Hardik Tamore,Wicket Keeper,2000000,Indian,,
33,Hari Nishaanth,Batsman,2000000,Indian,,
349,Harnoor Singh,Batsman,2000000,Indian,,
333,Harpreet Bhatia,Batsman,4000000,Indian,,
523,Harsh Tyagi,All-Rounder,2000000,Indian,,
440,Harvik  Desai,Wicket Keeper,2000000,Indian,,
291,Hashmatullah Shahidi,Batsman,5000000,Overseas,,
391,Hayden Kerr,All-Rounder,2000000,Overseas,,
274,Hayden Walsh,Bowler,5000000,Overseas,,
279,Hazratullah Zazai,Batsman,5000000,Overseas,,
466,Henan Malik,Batsman,2000000,Indian,,
590,Henry Shipley,All-Rounder,2000000,Overseas,,
321,Hilton Cartwright,All-Rounder,5000000,Overseas,,
348,Himanshu Rana,Batsman,2000000,Indian,,
350,Himmat Singh,Batsman,2000000,Indian,,
385,Hiten Dalal,Batsman,2000000,Indian,,
582,Ishan Afridi,All-Rounder,2000000,Indian,,
66,Ishan Porel,Bowler,2500000,Indian,,
416,Izharulhuq Naveed,Bowler,2000000,Overseas,,
576,J. Kousik,All-Rounder,2000000,Indian,,
309,Jack Wildermuth,All-Rounder,5000000,Overseas,,
415,Jacob Lintott,Bowler,2000000,Overseas,,
477,Jaideep Bhambhu,Bowler,2000000,Indian,,
469,Jake Weatherald,Batsman,2000000,Overseas,,
340,Jalaj Saxena,Bowler,3000000,Indian,,
214,James Vince,Batsman,20000000,Overseas,,
276,Janneman Malan,Batsman,5000000,Overseas,,
458,Jasmer  Dhankhar,Bowler,2000000,Indian,,
558,Jason Sangha,All-Rounder,2000000,Overseas,,
533,Jay Bista,All-Rounder,2000000,Indian,,
300,Jayden Seales,Bowler,5000000,Overseas,,
577,Jitender Pal,All-Rounder,2000000,Indian,,
315,Joel Paris,Bowler,5000000,Overseas,,
75,Jofra Archer,All-Rounder,80000000,Overseas,,
592,Johan Van Dyk,All-Rounder,2000000,Overseas,,
521,Johannes Smit,All-Rounder,2000000,Overseas,,
460,Jon Russ Jaggesar,Bowler,2000000,Overseas,,
76,Jonny Bairstow,Wicket Keeper,67500000,Overseas,,
578,Jonty Sidhu,All-Rounder,2000000,Indian,,
232,Joshua Philippe,Wicket Keeper,10000000,Overseas,,
599,K Nitish Reddy,Batsman,2000000,Indian,,
403,K.L. Shrijith,Wicket Keeper,2000000,Indian,,
538,K.V. Sasikanth,All-Rounder,2000000,Indian,,
397,Kaif Ahmad,Wicket Keeper,2000000,Indian,,
86,Karan Sharma,Bowler,5000000,Indian,,
281,Karim Janat,All-Rounder,5000000,Overseas,,
449,Kartikeya Kak,Bowler,2000000,Indian,,
437,Kaushal Tambe,All-Rounder,2000000,Indian,,
369,Kedar Devdhar,Wicket Keeper,2000000,Indian,,
237,Kedar Jadhav,All-Rounder,10000000,Indian,,
336,Kennar Lewis,Wicket Keeper,4000000,Overseas,,
462,Kevin Koththigoda,Bowler,2000000,Overseas,,
571,Khizar Dafedar,All-Rounder,2000000,Indian,,
380,Khrievitso Kense,Bowler,2000000,Indian,,
530,Khwezi Gumede,Bowler,2000000,Overseas,,
89,Krunal Pandya,All-Rounder,82500000,Indian,,
90,Kuldeep Sen,Bowler,2000000,Indian,,
551,Kumar Kartikeya Singh,All-Rounder,2000000,Indian,,
290,Kurtis Patterson,Batsman,5000000,Overseas,,
266,Kusal Mendis,Wicket Keeper,5000000,Overseas,,
267,Kusal Perera,Wicket Keeper,5000000,Overseas,,
421,Kushaal Wadhwani,Bowler,2000000,Indian,,
314,Lahiru Kumara,Bowler,5000000,Overseas,,
564,Lakhan Raja,All-Rounder,2000000,Indian,,
596,Lance Morris,Bowler,2000000,Overseas,,
334,Laurie Evans,Batsman,4000000,Overseas,,
226,Lewis Gregory,All-Rounder,15000000,Overseas,,
531,Liam Guthrie,Bowler,2000000,Overseas,,
532,Liam Hatcher,Bowler,2000000,Overseas,,
259,Litton Das,Wicket Keeper,5000000,Overseas,,
474,Lone Muzaffar,All-Rounder,2000000,Indian,,
375,Lukman Hussain Meriwala,Bowler,2000000,Indian,,
100,Luvnith Sisodia,Wicket Keeper,2000000,Indian,,
452,M Nidheesh,Bowler,2000000,Indian,,
495,M Venkatesh,All-Rounder,2000000,Indian,,
554,M. Mohammed,All-Rounder,2000000,Indian,,
345,M. Siddharth,Bowler,2000000,Indian,,
528,M.B. Darshan,Bowler,2000000,Indian,,
408,M.Harishankar Reddy,Bowler,2000000,Indian,,
418,Manav Suthar,Bowler,2000000,Indian,,
105,Manish Pandey,Batsman,46000000,Indian,,
513,Manish Reddy,Bowler,2000000,Indian,,
542,Manoj Bhandage,All-Rounder,2000000,Indian,,
215,Marchant De Lange,Bowler,20000000,Overseas,,
320,Mark Adnair,All-Rounder,5000000,Overseas,,
586,Mark Deyal,All-Rounder,2000000,Overseas,,
107,Mark Wood,Bowler,75000000,Overseas,,
229,Marnus Labuschagne,Batsman,10000000,Overseas,,
341,Matt Kelly,Bowler,3000000,Overseas,,
591,Maxwell Swaminathan,All-Rounder,2000000,Indian,,
110,Mayank Yadav,Bowler,2000000,Indian,,
574,Mickil Jaiswal,All-Rounder,2000000,Indian,,
383,Midhun Sudhesan,Bowler,2000000,Indian,,
490,Migael Pretorius,All-Rounder,2000000,Overseas,,
601,Mihir Hirwani,Bowler,2000000,Indian,,
419,Milind Tandon,Bowler,2000000,Indian,,
111,Mitchell Marsh,All-Rounder,65000000,Overseas,,
583,Mohammed Afridi,All-Rounder,2000000,Indian,,
343,Mohammed Azharuddeen,Wicket Keeper,2000000,Indian,,
404,Mohit Avasthi,Bowler,2000000,Indian,,
499,Mohit Jangra,Bowler,2000000,Indian,,
603,Monu Singh,Bowler,2000000,Indian,,
212,Mujeeb Zadran,Bowler,20000000,Overseas,,
356,Mujtaba Yousuf,Bowler,2000000,Indian,,
455,Mukesh Kumar Singh,Bowler,2000000,Indian,,
256,Najibullah Zadran,Batsman,5000000,Overseas,,
517,Nathan McAndrew,All-Rounder,2000000,Overseas,,
430,Naushad Shaikh,Batsman,2000000,Indian,,
284,Naveen  Ul Haq,Bowler,5000000,Overseas,,
303,Neil Wagner,Bowler,5000000,Overseas,,
587,Nidhish Rajagopal,All-Rounder,2000000,Indian,,
359,Nikhil Gangta,Batsman,2000000,Indian,,
400,Nikhil Naik,Wicket Keeper,2000000,Indian,,
475,Ninad Rathva,All-Rounder,2000000,Indian,,
260,Niroshan Dickwella,Wicket Keeper,5000000,Overseas,,
126,Nitish Rana,All-Rounder,80000000,Indian,,
597,Nivethan Radhakrishnan,All-Rounder,2000000,Overseas,,
569,Nyeem Young,All-Rounder,2000000,Overseas,,
527,Ottneil Baartman,Bowler,2000000,Overseas,,
374,Pankaj Jaswal,Bowler,2000000,Indian,,
548,Parth Sahani,All-Rounder,2000000,Indian,,
289,Pathum Nissaanka,Batsman,5000000,Overseas,,
277,Paul Stirling,Batsman,5000000,Overseas,,
556,Pradosh Paul,All-Rounder,2000000,Indian,,
581,Pranshu Vijayran,All-Rounder,2000000,Indian,,
368,Prashant Chopra,Wicket Keeper,2000000,Indian,,
135,Pratham Singh,Batsman,2000000,Indian,,
492,Pratyush Singh,All-Rounder,2000000,Indian,,
432,Prayas Barman,All-Rounder,2000000,Indian,,
584,Prerit Agrawal,All-Rounder,2000000,Indian,,
459,Prerit Dutta,Bowler,2000000,Indian,,
381,Prince Balwant Rai,Bowler,2000000,Indian,,
412,Prithviraj Yarra,Bowler,2000000,Indian,,
361,Priyank Panchal,Batsman,2000000,Indian,,
467,Pukhraj Mann,Batsman,2000000,Indian,,
555,Pulkit Narang,All-Rounder,2000000,Indian,,
559,Purnank Tyagi,All-Rounder,2000000,Indian,,
557,Pushpendra Singh Rathore,All-Rounder,2000000,Indian,,
254,Qais Ahmad,Bowler,5000000,Overseas,,
423,Qamran Iqbal,Batsman,2000000,Indian,,
456,R. Alexandar,Bowler,2000000,Indian,,
141,R. Ashwin,All-Rounder,50000000,Indian,,
