,Player,Player Origin,Role,Amount,Year
0,Suresh Raina,Indian,Batsman,20000000,2022.0
1,Steve Smith,Overseas,Batsman,20000000,2022.0
2,Shakib Al Hasan,Overseas,All-Rounder,20000000,2022.0
3,Adil Rashid,Overseas,Bowler,20000000,2022.0
4,Imran Tahir,Overseas,Bowler,20000000,2022.0
5,Mujeeb Zadran,Overseas,Bowler,20000000,2022.0
6,Adam Zampa,Overseas,Bowler,20000000,2022.0
7,James Vince,Overseas,Batsman,20000000,2022.0
8,Marchant De Lange,Overseas,Bowler,20000000,2022.0
9,Saqib Mahmood,Overseas,Bowler,20000000,2022.0
10,Ashton Agar,Overseas,All-Rounder,20000000,2022.0
11,Craig Overton,Overseas,All-Rounder,20000000,2022.0
12,Amit Mishra,Indian,Bowler,15000000,2022.0
13,Aaron Finch,Overseas,Batsman,15000000,2022.0
14,Dawid Malan,Overseas,Batsman,15000000,2022.0
15,Eoin  Morgan,Overseas,Batsman,15000000,2022.0
16,Ishant Sharma,Indian,Bowler,15000000,2022.0
17,Chris Lynn,Overseas,Batsman,15000000,2022.0
18,Usman Khawaja,Overseas,Batsman,15000000,2022.0
19,Lewis Gregory,Overseas,All-Rounder,15000000,2022.0
20,Kane Richardson,Overseas,Bowler,15000000,2022.0
21,Colin Munro,Overseas,All-Rounder,15000000,2022.0
22,Marnus Labuschagne,Overseas,Batsman,10000000,2022.0
23,Piyush Chawla,Indian,Bowler,10000000,2022.0
24,Tabraiz Shamsi,Overseas,Bowler,10000000,2022.0
25,Joshua Philippe,Overseas,Wicket Keeper,10000000,2022.0
26,Andrew Tye,Overseas,Bowler,10000000,2022.0
27,Rilee Rossouw,Overseas,Batsman,10000000,2022.0
28,Roston Chase,Overseas,All-Rounder,10000000,2022.0
29,Moises Henriques,Overseas,All-Rounder,10000000,2022.0
30,Kedar Jadhav,Indian,All-Rounder,10000000,2022.0
31,Colin  De Grandhomme,Overseas,All-Rounder,10000000,2022.0
32,James Faulkner,Overseas,All-Rounder,10000000,2022.0
33,Darcy Short,Overseas,All-Rounder,10000000,2022.0
34,Sheldon Cottrell,Overseas,Bowler,7500000,2022.0
35,Reece Topley,Overseas,Bowler,7500000,2022.0
36,Todd Astle,Overseas,Bowler,7500000,2022.0
37,Martin Guptill,Overseas,Batsman,7500000,2022.0
38,Ben Cutting,Overseas,All-Rounder,7500000,2022.0
39,Scott Kuggeleijn,Overseas,All-Rounder,7500000,2022.0
40,Dhawal Kulkarni,Indian,Bowler,7500000,2022.0
41,Darren Bravo,Overseas,Batsman,7500000,2022.0
42,Carlos Brathwaite,Overseas,All-Rounder,7500000,2022.0
43,Keemo Paul,Overseas,All-Rounder,7500000,2022.0
44,Billy Stanlake,Overseas,Bowler,7500000,2022.0
45,Cheteshwar  Pujara,Indian,Batsman,5000000,2022.0
46,Saurabh Tiwary,Indian,Batsman,5000000,2022.0
47,Qais Ahmad,Overseas,Bowler,5000000,2022.0
48,Ish Sodhi,Overseas,Bowler,5000000,2022.0
49,Najibullah Zadran,Overseas,Batsman,5000000,2022.0
50,Charith Asalanka,Overseas,All-Rounder,5000000,2022.0
51,George Garton,Overseas,All-Rounder,5000000,2022.0
52,Litton Das,Overseas,Wicket Keeper,5000000,2022.0
53,Niroshan Dickwella,Overseas,Wicket Keeper,5000000,2022.0
54,Andre Fletcher,Overseas,Wicket Keeper,5000000,2022.0
55,Rahmanullah Gurbaz,Overseas,Wicket Keeper,5000000,2022.0
56,Shai Hope,Overseas,Wicket Keeper,5000000,2022.0
57,Heinrich Klaasen,Overseas,Wicket Keeper,5000000,2022.0
58,Ben Mcdermott,Overseas,Wicket Keeper,5000000,2022.0
59,Kusal Mendis,Overseas,Wicket Keeper,5000000,2022.0
60,Kusal Perera,Overseas,Wicket Keeper,5000000,2022.0
61,Sandeep Warrier,Indian,Bowler,5000000,2022.0
62,Akila Dhananjaya,Overseas,Bowler,5000000,2022.0
63,Zahir Khan,Overseas,Bowler,5000000,2022.0
64,Keshav Maharaj,Overseas,Bowler,5000000,2022.0
65,Waqar Salamkheil,Overseas,Bowler,5000000,2022.0
66,Rahul Sharma,Indian,Bowler,5000000,2022.0
67,Hayden Walsh,Overseas,Bowler,5000000,2022.0
68,Brandon King,Overseas,Batsman,5000000,2022.0
69,Janneman Malan,Overseas,Batsman,5000000,2022.0
